Pango.lineage	Pango.lineage.original
N.2	B.1.1.33.2
N.3	B.1.1.33.3
N.4	B.1.1.33.4
N.5	B.1.1.33.5
N.6	B.1.1.33.6
N.7	B.1.1.33.7
N.8	B.1.1.33.8
N.9	B.1.1.33.9
N.10	B.1.1.33.10
AQ.1	B.1.1.39.1
AQ.2	B.1.1.39.2
AP.1	B.1.1.70.1
AN.1	B.1.1.200.1
AM.1	B.1.1.216.1
AM.2	B.1.1.216.2
AM.3	B.1.1.216.3
AM.4	B.1.1.216.4
S.1	B.1.1.217.1
AL.1	B.1.1.231.1
AK.1	B.1.1.232.1
AK.2	B.1.1.232.2
AH.1	B.1.1.241.1
AH.2	B.1.1.241.2
AH.3	B.1.1.241.3
AJ.1	B.1.1.240.1
K.1	B.1.1.277.1
K.2	B.1.1.277.2
K.3	B.1.1.277.3
M.1	B.1.1.294.1
M.2	B.1.1.294.2
M.3	B.1.1.294.3
AG.1	B.1.1.297.1
AF.1	B.1.1.305.1
AE.1	B.1.1.306.1
AE.2	B.1.1.306.2
AE.3	B.1.1.306.3
AE.4	B.1.1.306.4
AE.5	B.1.1.306.5
AE.6	B.1.1.306.6
AE.7	B.1.1.306.7
AE.8	B.1.1.306.8
AD.1	B.1.1.315.1
AD.2	B.1.1.315.2
AD.2.1	B.1.1.315.2.1
R.1	B.1.1.316.1
R.2	B.1.1.316.2
AS.1	B.1.1.317.1
AS.2	B.1.1.317.2
AZ.1	B.1.1.318.1
AZ.2	B.1.1.318.2
AZ.2.1	B.1.1.318.2.1
AZ.3	B.1.1.318.3
AZ.4	B.1.1.318.4
AZ.5	B.1.1.318.5
AZ.6	B.1.1.318.6
AT.1	B.1.1.370.1
AC.1	B.1.1.405.1
AW.1	B.1.1.464.1
AV.1	B.1.1.482.1
BA.1	B.1.1.529.1
BA.1.1	B.1.1.529.1.1
BA.1.1.1	B.1.1.529.1.1.1
BC.1	B.1.1.529.1.1.1.1
BC.2	B.1.1.529.1.1.1.2
BA.1.1.2	B.1.1.529.1.1.2
BA.1.1.3	B.1.1.529.1.1.3
BA.1.1.4	B.1.1.529.1.1.4
BA.1.1.5	B.1.1.529.1.1.5
BA.1.1.6	B.1.1.529.1.1.6
BA.1.1.7	B.1.1.529.1.1.7
BA.1.1.8	B.1.1.529.1.1.8
BA.1.1.9	B.1.1.529.1.1.9
BA.1.1.10	B.1.1.529.1.1.10
BA.1.1.11	B.1.1.529.1.1.11
BA.1.1.12	B.1.1.529.1.1.12
BA.1.1.13	B.1.1.529.1.1.13
BA.1.1.14	B.1.1.529.1.1.14
BA.1.1.15	B.1.1.529.1.1.15
BA.1.1.16	B.1.1.529.1.1.16
BA.1.1.17	B.1.1.529.1.1.17
BA.1.1.18	B.1.1.529.1.1.18
BA.1.2	B.1.1.529.1.2
BA.1.3	B.1.1.529.1.3
BA.1.4	B.1.1.529.1.4
BA.1.5	B.1.1.529.1.5
BA.1.6	B.1.1.529.1.6
BA.1.7	B.1.1.529.1.7
BA.1.8	B.1.1.529.1.8
BA.1.9	B.1.1.529.1.9
BA.1.10	B.1.1.529.1.10
BA.1.12	B.1.1.529.1.12
BA.1.13	B.1.1.529.1.13
BA.1.13.1	B.1.1.529.1.13.1
BA.1.14	B.1.1.529.1.14
BA.1.14.1	B.1.1.529.1.14.1
BA.1.14.2	B.1.1.529.1.14.2
BA.1.15	B.1.1.529.1.15
BA.1.15.1	B.1.1.529.1.15.1
BA.1.15.2	B.1.1.529.1.15.2
BA.1.15.3	B.1.1.529.1.15.3
BA.1.16	B.1.1.529.1.16
BA.1.16.1	B.1.1.529.1.16.1
BA.1.16.2	B.1.1.529.1.16.2
BA.1.17	B.1.1.529.1.17
BA.1.17.1	B.1.1.529.1.17.1
BA.1.17.2	B.1.1.529.1.17.2
BD.1	B.1.1.529.1.17.2.1
BA.1.18	B.1.1.529.1.18
BA.1.19	B.1.1.529.1.19
BA.1.20	B.1.1.529.1.20
BA.1.21	B.1.1.529.1.21
BA.1.21.1	B.1.1.529.1.21.1
BA.1.22	B.1.1.529.1.22
BA.1.23	B.1.1.529.1.23
BA.1.24	B.1.1.529.1.24
BA.2	B.1.1.529.2
BA.2.1	B.1.1.529.2.1
BA.2.2	B.1.1.529.2.2
BA.2.2.1	B.1.1.529.2.2.1
BA.2.3	B.1.1.529.2.3
BA.2.3.1	B.1.1.529.2.3.1
BA.2.3.2	B.1.1.529.2.3.2
BS.1	B.1.1.529.2.3.2.1
BS.1.1	B.1.1.529.2.3.2.1.1
BS.1.2	B.1.1.529.2.3.2.1.2
BA.2.3.3	B.1.1.529.2.3.3
BA.2.3.4	B.1.1.529.2.3.4
BA.2.3.5	B.1.1.529.2.3.5
BA.2.3.6	B.1.1.529.2.3.6
BA.2.3.7	B.1.1.529.2.3.7
BA.2.3.8	B.1.1.529.2.3.8
BA.2.3.9	B.1.1.529.2.3.9
BA.2.3.10	B.1.1.529.2.3.10
BA.2.3.11	B.1.1.529.2.3.11
BA.2.3.12	B.1.1.529.2.3.12
BA.2.3.13	B.1.1.529.2.3.13
BA.2.3.14	B.1.1.529.2.3.14
BA.2.3.15	B.1.1.529.2.3.15
BA.2.3.16	B.1.1.529.2.3.16
BP.1	B.1.1.529.2.3.16.1
BA.2.3.17	B.1.1.529.2.3.17
BA.2.3.18	B.1.1.529.2.3.18
BA.2.3.19	B.1.1.529.2.3.19
BA.2.3.20	B.1.1.529.2.3.20
CM.1	B.1.1.529.2.3.20.1
CM.2	B.1.1.529.2.3.20.2
CM.2.1	B.1.1.529.2.3.20.2.1
CM.3	B.1.1.529.2.3.20.3
CM.4	B.1.1.529.2.3.20.4
CM.5	B.1.1.529.2.3.20.5
CM.5.1	B.1.1.529.2.3.20.5.1
CM.6	B.1.1.529.2.3.20.6
CM.6.1	B.1.1.529.2.3.20.6.1
CM.7	B.1.1.529.2.3.20.7
CM.8	B.1.1.529.2.3.20.8
CM.8.1	B.1.1.529.2.3.20.8.1
CM.9	B.1.1.529.2.3.20.9
BA.2.3.21	B.1.1.529.2.3.21
DD.1	B.1.1.529.2.3.21.1
BA.2.4	B.1.1.529.2.4
BA.2.5	B.1.1.529.2.5
BA.2.6	B.1.1.529.2.6
BA.2.7	B.1.1.529.2.7
BA.2.8	B.1.1.529.2.8
BA.2.9	B.1.1.529.2.9
BA.2.9.1	B.1.1.529.2.9.1
BA.2.9.2	B.1.1.529.2.9.2
BA.2.9.3	B.1.1.529.2.9.3
BA.2.9.4	B.1.1.529.2.9.4
BA.2.9.5	B.1.1.529.2.9.5
BA.2.9.6	B.1.1.529.2.9.6
BA.2.9.7	B.1.1.529.2.9.7
BA.2.10	B.1.1.529.2.10
BA.2.10.1	B.1.1.529.2.10.1
BJ.1	B.1.1.529.2.10.1.1
BA.2.10.2	B.1.1.529.2.10.2
BA.2.10.3	B.1.1.529.2.10.3
BA.2.10.4	B.1.1.529.2.10.4
BA.2.11	B.1.1.529.2.11
BA.2.12	B.1.1.529.2.12
BA.2.12.1	B.1.1.529.2.12.1
BG.1	B.1.1.529.2.12.1.1
BG.2	B.1.1.529.2.12.1.2
BG.3	B.1.1.529.2.12.1.3
BG.4	B.1.1.529.2.12.1.4
BG.5	B.1.1.529.2.12.1.5
BG.6	B.1.1.529.2.12.1.6
BG.7	B.1.1.529.2.12.1.7
BA.2.12.2	B.1.1.529.2.12.2
BA.2.13	B.1.1.529.2.13
BA.2.13.1	B.1.1.529.2.13.1
BA.2.14	B.1.1.529.2.14
BA.2.15	B.1.1.529.2.15
BA.2.16	B.1.1.529.2.16
BA.2.17	B.1.1.529.2.17
BA.2.18	B.1.1.529.2.18
BA.2.19	B.1.1.529.2.19
BA.2.20	B.1.1.529.2.20
BA.2.21	B.1.1.529.2.21
BA.2.22	B.1.1.529.2.22
BA.2.23	B.1.1.529.2.23
BA.2.23.1	B.1.1.529.2.23.1
BA.2.24	B.1.1.529.2.24
BA.2.25	B.1.1.529.2.25
BA.2.25.1	B.1.1.529.2.25.1
BA.2.26	B.1.1.529.2.26
BA.2.27	B.1.1.529.2.27
BA.2.28	B.1.1.529.2.28
BA.2.29	B.1.1.529.2.29
BA.2.30	B.1.1.529.2.30
BA.2.31	B.1.1.529.2.31
BA.2.31.1	B.1.1.529.2.31.1
BA.2.32	B.1.1.529.2.32
BA.2.33	B.1.1.529.2.33
BA.2.34	B.1.1.529.2.34
BA.2.35	B.1.1.529.2.35
BA.2.36	B.1.1.529.2.36
BA.2.37	B.1.1.529.2.37
BA.2.38	B.1.1.529.2.38
BA.2.38.1	B.1.1.529.2.38.1
BA.2.38.2	B.1.1.529.2.38.2
BA.2.38.3	B.1.1.529.2.38.3
BA.2.38.4	B.1.1.529.2.38.4
BH.1	B.1.1.529.2.38.3.1
BA.2.39	B.1.1.529.2.39
BA.2.40	B.1.1.529.2.40
BA.2.40.1	B.1.1.529.2.40.1
BA.2.41	B.1.1.529.2.41
BA.2.42	B.1.1.529.2.42
BA.2.43	B.1.1.529.2.43
BA.2.44	B.1.1.529.2.44
BA.2.45	B.1.1.529.2.45
BA.2.46	B.1.1.529.2.46
BA.2.47	B.1.1.529.2.47
BA.2.48	B.1.1.529.2.48
BA.2.49	B.1.1.529.2.49
BA.2.50	B.1.1.529.2.50
BA.2.51	B.1.1.529.2.51
BA.2.52	B.1.1.529.2.52
BA.2.53	B.1.1.529.2.53
BA.2.54	B.1.1.529.2.54
BA.2.55	B.1.1.529.2.55
BA.2.56	B.1.1.529.2.56
BA.2.56.1	B.1.1.529.2.56.1
BA.2.57	B.1.1.529.2.57
BA.2.58	B.1.1.529.2.58
BA.2.59	B.1.1.529.2.59
BA.2.60	B.1.1.529.2.60
BA.2.61	B.1.1.529.2.61
BA.2.62	B.1.1.529.2.62
BA.2.63	B.1.1.529.2.63
BA.2.64	B.1.1.529.2.64
BA.2.65	B.1.1.529.2.65
BA.2.66	B.1.1.529.2.66
BA.2.67	B.1.1.529.2.67
BA.2.68	B.1.1.529.2.68
BA.2.69	B.1.1.529.2.69
BA.2.70	B.1.1.529.2.70
BA.2.71	B.1.1.529.2.71
BA.2.72	B.1.1.529.2.72
BA.2.73	B.1.1.529.2.73
BA.2.74	B.1.1.529.2.74
BA.2.75	B.1.1.529.2.75
BA.2.75.1	B.1.1.529.2.75.1
BL.1	B.1.1.529.2.75.1.1
BL.1.1	B.1.1.529.2.75.1.1.1
BL.1.2	B.1.1.529.2.75.1.1.2
BL.1.3	B.1.1.529.2.75.1.1.3
BL.1.4	B.1.1.529.2.75.1.1.4
BL.2	B.1.1.529.2.75.1.2
BL.2.1	B.1.1.529.2.75.1.2.1
BL.3	B.1.1.529.2.75.1.3
BL.4	B.1.1.529.2.75.1.4
BL.5	B.1.1.529.2.75.1.5
BA.2.75.2	B.1.1.529.2.75.2
CA.1	B.1.1.529.2.75.2.1
CA.2	B.1.1.529.2.75.2.2
CA.3	B.1.1.529.2.75.2.3
CA.3.1	B.1.1.529.2.75.2.3.1
CA.4	B.1.1.529.2.75.2.4
CA.5	B.1.1.529.2.75.2.5
CA.6	B.1.1.529.2.75.2.6
CA.7	B.1.1.529.2.75.2.7
BA.2.75.3	B.1.1.529.2.75.3
BM.1	B.1.1.529.2.75.3.1
BM.1.1	B.1.1.529.2.75.3.1.1
BM.1.1.1	B.1.1.529.2.75.3.1.1.1
CJ.1	B.1.1.529.2.75.3.1.1.1.1
BM.1.1.2	B.1.1.529.2.75.3.1.1.2
BM.1.1.3	B.1.1.529.2.75.3.1.1.3
CV.1	B.1.1.529.2.75.3.1.1.3.1
BM.2	B.1.1.529.2.75.3.2
BM.2.1	B.1.1.529.2.75.3.2.1
BM.2.2	B.1.1.529.2.75.3.2.2
BM.2.3	B.1.1.529.2.75.3.2.3
BM.3	B.1.1.529.2.75.3.3
BM.4	B.1.1.529.2.75.3.4
BM.4.1	B.1.1.529.2.75.3.4.1
BM.4.1.1	B.1.1.529.2.75.3.4.1.1
CH.1	B.1.1.529.2.75.3.4.1.1.1
CH.1.1	B.1.1.529.2.75.3.4.1.1.1.1
CH.2	B.1.1.529.2.75.3.4.1.1.2
BM.5	B.1.1.529.2.75.3.5
BM.6	B.1.1.529.2.75.3.6
BA.2.75.4	B.1.1.529.2.75.4
BR.1	B.1.1.529.2.75.4.1
BR.1.1	B.1.1.529.2.75.4.1.1
BR.1.2	B.1.1.529.2.75.4.1.2
BR.2	B.1.1.529.2.75.4.2
BR.2.1	B.1.1.529.2.75.4.2.1
BR.3	B.1.1.529.2.75.4.3
BR.4	B.1.1.529.2.75.4.4
BA.2.75.5	B.1.1.529.2.75.5
BN.1	B.1.1.529.2.75.5.1
BN.1.1	B.1.1.529.2.75.5.1.1
BN.1.1.1	B.1.1.529.2.75.5.1.1.1
BN.1.2	B.1.1.529.2.75.5.1.2
BN.1.2.1	B.1.1.529.2.75.5.1.2.1
BN.1.3	B.1.1.529.2.75.5.1.3
BN.1.3.1	B.1.1.529.2.75.5.1.3.1
BN.1.4	B.1.1.529.2.75.5.1.4
BN.1.5	B.1.1.529.2.75.5.1.5
BN.1.6	B.1.1.529.2.75.5.1.6
BN.1.7	B.1.1.529.2.75.5.1.7
BN.1.8	B.1.1.529.2.75.5.1.8
BN.2	B.1.1.529.2.75.5.2
BN.2.1	B.1.1.529.2.75.5.2.1
BN.3	B.1.1.529.2.75.5.3
BN.3.1	B.1.1.529.2.75.5.3.1
BN.4	B.1.1.529.2.75.5.4
BN.5	B.1.1.529.2.75.5.5
BN.6	B.1.1.529.2.75.5.6
BA.2.75.6	B.1.1.529.2.75.6
BY.1	B.1.1.529.2.75.6.1
BY.1.1	B.1.1.529.2.75.6.1.1
BY.1.1.1	B.1.1.529.2.75.6.1.1.1
BY.1.2	B.1.1.529.2.75.6.1.2
BY.1.2.1	B.1.1.529.2.75.6.1.2.1
BA.2.75.7	B.1.1.529.2.75.7
BA.2.75.8	B.1.1.529.2.75.8
BA.2.75.9	B.1.1.529.2.75.9
CB.1	B.1.1.529.2.75.9.1
BA.2.75.10	B.1.1.529.2.75.10
BA.2.76	B.1.1.529.2.76
BA.2.76.1	B.1.1.529.2.76.1
BA.2.76.2	B.1.1.529.2.76.2
BA.2.77	B.1.1.529.2.77
BA.2.78	B.1.1.529.2.78
BA.2.79	B.1.1.529.2.79
BA.2.79.1	B.1.1.529.2.79.1
BA.2.80	B.1.1.529.2.80
BA.2.81	B.1.1.529.2.81
BA.2.82	B.1.1.529.2.82
BA.2.83	B.1.1.529.2.83
BA.2.85	B.1.1.529.2.85
BA.3	B.1.1.529.3
BA.3.1	B.1.1.529.3.1
BA.4	B.1.1.529.4
BA.4.1	B.1.1.529.4.1
BA.4.1.1	B.1.1.529.4.1.1
BA.4.1.2	B.1.1.529.4.1.2
BA.4.1.3	B.1.1.529.4.1.3
BA.4.1.4	B.1.1.529.4.1.4
BA.4.1.5	B.1.1.529.4.1.5
BA.4.1.6	B.1.1.529.4.1.6
BA.4.1.7	B.1.1.529.4.1.7
BA.4.1.8	B.1.1.529.4.1.8
BA.4.1.9	B.1.1.529.4.1.9
BA.4.1.10	B.1.1.529.4.1.10
CS.1	B.1.1.529.4.1.10.1
BA.4.2	B.1.1.529.4.2
BA.4.3	B.1.1.529.4.3
BA.4.4	B.1.1.529.4.4
BA.4.5	B.1.1.529.4.5
BA.4.6	B.1.1.529.4.6
BA.4.6.1	B.1.1.529.4.6.1
BA.4.6.2	B.1.1.529.4.6.2
BA.4.6.3	B.1.1.529.4.6.3
BA.4.6.4	B.1.1.529.4.6.4
BA.4.6.5	B.1.1.529.4.6.5
DC.1	B.1.1.529.4.6.5.1
BA.4.7	B.1.1.529.4.7
BA.4.8	B.1.1.529.4.8
BA.5	B.1.1.529.5
BA.5.1	B.1.1.529.5.1
BA.5.1.1	B.1.1.529.5.1.1
BA.5.1.2	B.1.1.529.5.1.2
BA.5.1.3	B.1.1.529.5.1.3
BA.5.1.4	B.1.1.529.5.1.4
BA.5.1.5	B.1.1.529.5.1.5
BA.5.1.6	B.1.1.529.5.1.6
BA.5.1.7	B.1.1.529.5.1.7
BA.5.1.8	B.1.1.529.5.1.8
BA.5.1.9	B.1.1.529.5.1.9
BA.5.1.10	B.1.1.529.5.1.10
BK.1	B.1.1.529.5.1.10.1
BA.5.1.11	B.1.1.529.5.1.11
BA.5.1.12	B.1.1.529.5.1.12
BA.5.1.13	B.1.1.529.5.1.13
BA.5.1.14	B.1.1.529.5.1.14
BA.5.1.15	B.1.1.529.5.1.15
BA.5.1.16	B.1.1.529.5.1.16
BA.5.1.17	B.1.1.529.5.1.17
BA.5.1.18	B.1.1.529.5.1.18
BA.5.1.19	B.1.1.529.5.1.19
BA.5.1.20	B.1.1.529.5.1.20
BA.5.1.21	B.1.1.529.5.1.21
BT.1	B.1.1.529.5.1.21.1
BT.2	B.1.1.529.5.1.21.2
BA.5.1.22	B.1.1.529.5.1.22
DH.1	B.1.1.529.5.1.22.1
BA.5.1.23	B.1.1.529.5.1.23
DE.1	B.1.1.529.5.1.23.1
DE.2	B.1.1.529.5.1.23.2
BA.5.1.24	B.1.1.529.5.1.24
BA.5.1.25	B.1.1.529.5.1.25
DJ.1	B.1.1.529.5.1.25.1
DJ.1.1	B.1.1.529.5.1.25.1.1
BA.5.1.26	B.1.1.529.5.1.26
CU.1	B.1.1.529.5.1.26.1
BA.5.1.27	B.1.1.529.5.1.27
BA.5.1.28	B.1.1.529.5.1.28
BA.5.1.29	B.1.1.529.5.1.29
CL.1	B.1.1.529.5.1.29.1
BA.5.1.30	B.1.1.529.5.1.30
BA.5.1.31	B.1.1.529.5.1.31
BA.5.2	B.1.1.529.5.2
BA.5.2.1	B.1.1.529.5.2.1
BF.1	B.1.1.529.5.2.1.1
BF.1.1	B.1.1.529.5.2.1.1.1
BF.2	B.1.1.529.5.2.1.2
BF.3	B.1.1.529.5.2.1.3
BF.3.1	B.1.1.529.5.2.1.3.1
BF.4	B.1.1.529.5.2.1.4
BF.5	B.1.1.529.5.2.1.5
BF.6	B.1.1.529.5.2.1.6
BF.7	B.1.1.529.5.2.1.7
BF.7.1	B.1.1.529.5.2.1.7.1
BF.7.2	B.1.1.529.5.2.1.7.2
BF.7.3	B.1.1.529.5.2.1.7.3
BF.7.4	B.1.1.529.5.2.1.7.4
BF.7.4.1	B.1.1.529.5.2.1.7.4.1
BF.7.4.2	B.1.1.529.5.2.1.7.4.2
BF.7.5	B.1.1.529.5.2.1.7.5
BF.7.5.1	B.1.1.529.5.2.1.7.5.1
BF.7.6	B.1.1.529.5.2.1.7.6
BF.7.7	B.1.1.529.5.2.1.7.7
BF.7.8	B.1.1.529.5.2.1.7.8
BF.7.9	B.1.1.529.5.2.1.7.9
BF.7.10	B.1.1.529.5.2.1.7.10
BF.7.11	B.1.1.529.5.2.1.7.11
BF.7.12	B.1.1.529.5.2.1.7.12
BF.7.13	B.1.1.529.5.2.1.7.13
BF.7.13.1	B.1.1.529.5.2.1.7.13.1
BF.7.13.2	B.1.1.529.5.2.1.7.13.2
BF.8	B.1.1.529.5.2.1.8
BF.9	B.1.1.529.5.2.1.9
BF.10	B.1.1.529.5.2.1.10
BF.11	B.1.1.529.5.2.1.11
BF.11.1	B.1.1.529.5.2.1.11.1
BF.11.2	B.1.1.529.5.2.1.11.2
BF.11.3	B.1.1.529.5.2.1.11.3
BF.11.4	B.1.1.529.5.2.1.11.4
BF.11.5	B.1.1.529.5.2.1.11.5
BF.12	B.1.1.529.5.2.1.12
BF.13	B.1.1.529.5.2.1.13
BF.14	B.1.1.529.5.2.1.14
BF.15	B.1.1.529.5.2.1.15
BF.16	B.1.1.529.5.2.1.16
BF.17	B.1.1.529.5.2.1.17
BF.18	B.1.1.529.5.2.1.18
BF.19	B.1.1.529.5.2.1.19
BF.20	B.1.1.529.5.2.1.20
BF.21	B.1.1.529.5.2.1.21
BF.22	B.1.1.529.5.2.1.22
BF.23	B.1.1.529.5.2.1.23
BF.24	B.1.1.529.5.2.1.24
BF.25	B.1.1.529.5.2.1.25
BF.26	B.1.1.529.5.2.1.26
BF.27	B.1.1.529.5.2.1.27
BF.28	B.1.1.529.5.2.1.28
BF.29	B.1.1.529.5.2.1.29
BF.30	B.1.1.529.5.2.1.30
BF.31	B.1.1.529.5.2.1.31
BF.31.1	B.1.1.529.5.2.1.31.1
BF.32	B.1.1.529.5.2.1.32
BF.33	B.1.1.529.5.2.1.33
BF.34	B.1.1.529.5.2.1.34
BA.5.2.2	B.1.1.529.5.2.2
BA.5.2.3	B.1.1.529.5.2.3
BZ.1	B.1.1.529.5.2.3.1
BA.5.2.4	B.1.1.529.5.2.4
BA.5.2.5	B.1.1.529.5.2.5
BA.5.2.6	B.1.1.529.5.2.6
CP.1	B.1.1.529.5.2.6.1
CP.1.1	B.1.1.529.5.2.6.1.1
CP.1.2	B.1.1.529.5.2.6.1.2
CP.1.3	B.1.1.529.5.2.6.1.3
CP.2	B.1.1.529.5.2.6.2
CP.3	B.1.1.529.5.2.6.3
CP.4	B.1.1.529.5.2.6.4
CP.5	B.1.1.529.5.2.6.5
CP.6	B.1.1.529.5.2.6.6
BA.5.2.7	B.1.1.529.5.2.7
CY.1	B.1.1.529.5.2.7.1
BA.5.2.8	B.1.1.529.5.2.8
BA.5.2.9	B.1.1.529.5.2.9
BA.5.2.10	B.1.1.529.5.2.10
BA.5.2.11	B.1.1.529.5.2.11
BA.5.2.12	B.1.1.529.5.2.12
BA.5.2.13	B.1.1.529.5.2.13
BA.5.2.14	B.1.1.529.5.2.14
BA.5.2.16	B.1.1.529.5.2.16
BU.1	B.1.1.529.5.2.16.1
BU.2	B.1.1.529.5.2.16.2
BU.3	B.1.1.529.5.2.16.3
BA.5.2.18	B.1.1.529.5.2.18
CR.1	B.1.1.529.5.2.18.1
CR.1.1	B.1.1.529.5.2.18.1.1
CR.1.2	B.1.1.529.5.2.18.1.2
CR.2	B.1.1.529.5.2.18.2
BA.5.2.19	B.1.1.529.5.2.19
BA.5.2.20	B.1.1.529.5.2.20
BV.1	B.1.1.529.5.2.20.1
BV.2	B.1.1.529.5.2.20.2
BA.5.2.21	B.1.1.529.5.2.21
CN.1	B.1.1.529.5.2.21.1
BA.5.2.22	B.1.1.529.5.2.22
BA.5.2.23	B.1.1.529.5.2.23
BA.5.2.24	B.1.1.529.5.2.24
CK.1	B.1.1.529.5.2.24.1
CK.2	B.1.1.529.5.2.24.2
CK.2.1	B.1.1.529.5.2.24.2.1
CK.2.1.1	B.1.1.529.5.2.24.2.1.1
CK.3	B.1.1.529.5.2.24.3
DG.1	B.1.1.529.5.2.24.2.1.1.1
BA.5.2.25	B.1.1.529.5.2.25
DB.1	B.1.1.529.5.2.25.1
DB.2	B.1.1.529.5.2.25.2
BA.5.2.26	B.1.1.529.5.2.26
BA.5.2.27	B.1.1.529.5.2.27
CF.1	B.1.1.529.5.2.27.1
CG.1	B.1.1.529.5.2.26.1
BA.5.2.28	B.1.1.529.5.2.28
BA.5.2.29	B.1.1.529.5.2.29
BA.5.2.30	B.1.1.529.5.2.30
BA.5.2.31	B.1.1.529.5.2.31
CD.1	B.1.1.529.5.2.31.1
CD.2	B.1.1.529.5.2.31.2
BA.5.2.32	B.1.1.529.5.2.32
BA.5.2.33	B.1.1.529.5.2.33
CE.1	B.1.1.529.5.2.33.1
BA.5.2.34	B.1.1.529.5.2.34
BA.5.2.35	B.1.1.529.5.2.35
BA.5.2.36	B.1.1.529.5.2.36
CT.1	B.1.1.529.5.2.36.1
BA.5.2.37	B.1.1.529.5.2.37
BA.5.2.38	B.1.1.529.5.2.38
DA.1	B.1.1.529.5.2.38.1
BA.5.2.39	B.1.1.529.5.2.39
BA.5.2.40	B.1.1.529.5.2.40
BA.5.2.41	B.1.1.529.5.2.41
BA.5.2.42	B.1.1.529.5.2.42
BA.5.3	B.1.1.529.5.3
BA.5.3.1	B.1.1.529.5.3.1
BE.1	B.1.1.529.5.3.1.1
BE.1.1	B.1.1.529.5.3.1.1.1
BE.1.1.1	B.1.1.529.5.3.1.1.1.1
BQ.1	B.1.1.529.5.3.1.1.1.1.1
BQ.1.1	B.1.1.529.5.3.1.1.1.1.1.1
BQ.1.1.1	B.1.1.529.5.3.1.1.1.1.1.1.1
CZ.1	B.1.1.529.5.3.1.1.1.1.1.1.1.1
BQ.1.1.2	B.1.1.529.5.3.1.1.1.1.1.1.2
BQ.1.1.3	B.1.1.529.5.3.1.1.1.1.1.1.3
BQ.1.1.4	B.1.1.529.5.3.1.1.1.1.1.1.4
BQ.1.1.5	B.1.1.529.5.3.1.1.1.1.1.1.5
BQ.1.1.6	B.1.1.529.5.3.1.1.1.1.1.1.6
BQ.1.1.7	B.1.1.529.5.3.1.1.1.1.1.1.7
BQ.1.1.8	B.1.1.529.5.3.1.1.1.1.1.1.8
BQ.1.1.9	B.1.1.529.5.3.1.1.1.1.1.1.9
BQ.1.1.10	B.1.1.529.5.3.1.1.1.1.1.1.10
