 1,,,,,,,,EPI_ISL_15185474|XBB.1,EPI_ISL_15157662|BJ.1,EPI_ISL_14866361|BM.1.1
 1,,,,,,,,EPI_ISL_15185499|XBB.1,EPI_ISL_15172754|BJ.1,EPI_ISL_14873329|BM.1.1
 1,,,,,,,,EPI_ISL_15192078|XBB.1,EPI_ISL_15172873|BJ.1,EPI_ISL_14890585|BM.1.1
 1,,,,,,,,EPI_ISL_15192849|XBB,EPI_ISL_15172881|BJ.1,EPI_ISL_14890612|BM.1.1
 1,,,,,,,,,EPI_ISL_15172914|BJ.1,EPI_ISL_14891508|BM.1
 1,,,,,,,,,EPI_ISL_15172921|BJ.1,EPI_ISL_14891572|BM.1
 1,,,,,,,,,EPI_ISL_15172973|BJ.1,EPI_ISL_14891574|BM.1.1
 1,,,,,,,,,EPI_ISL_15172990|BJ.1,EPI_ISL_14891611|BM.1
 1,,,,,,,,,EPI_ISL_15172997|BJ.1,EPI_ISL_14896410|BM.1
 1,,,,,,,,,EPI_ISL_15173008|BJ.1,EPI_ISL_14900368|BM.1.1
 1,,,,,,,,,EPI_ISL_15183839|BJ.1,EPI_ISL_14900778|BM.1.1
 1,,,,,,,,,,EPI_ISL_14905769|BM.1.1
 1,,,,,,,,,,EPI_ISL_14905915|BM.1.1
 1,,,,,,,,,,EPI_ISL_14906004|BM.1.1
 1,,,,,,,,,,EPI_ISL_14906547|BM.1.1
 1,,,,,,,,,,EPI_ISL_14910460|BM.1
 1,,,,,,,,,,EPI_ISL_14910468|BM.1
 1,,,,,,,,,,EPI_ISL_14910481|BM.1
 1,,,,,,,,,,EPI_ISL_14910491|BM.1
 1,,,,,,,,,,EPI_ISL_14910532|BM.1
 1,,,,,,,,,,EPI_ISL_14913104|BM.1.1
 1,,,,,,,,,,EPI_ISL_14913183|BM.1.1
 1,,,,,,,,,,EPI_ISL_14917593|BM.1.1
 1,,,,,,,,,,EPI_ISL_14917673|BM.1.1
 1,,,,,,,,,,EPI_ISL_14917704|BM.1.1
 1,,,,,,,,,,EPI_ISL_14917722|BM.1.1
 1,,,,,,,,,,EPI_ISL_14917766|BM.1.1
 1,,,,,,,,,,EPI_ISL_14917771|BM.1.1
 1,,,,,,,,,,EPI_ISL_14918346|BM.1.1
 1,,,,,,,,,,EPI_ISL_14923272|BM.1
 1,,,,,,,,,,EPI_ISL_14923286|BM.1.1
 1,,,,,,,,,,EPI_ISL_14929961|BM.1
 1,,,,,,,,,,EPI_ISL_14933342|BM.1.1
 1,,,,,,,,,,EPI_ISL_14933388|BM.1.1
 1,,,,,,,,,,EPI_ISL_14940250|BM.1.1
 1,,,,,,,,,,EPI_ISL_14948260|BM.1.1
 1,,,,,,,,,,EPI_ISL_14948261|BM.1.1
 1,,,,,,,,,,EPI_ISL_14948267|BM.1.1
 1,,,,,,,,,,EPI_ISL_14948279|BM.1.1
 1,,,,,,,,,,EPI_ISL_14948283|BM.1.1
 1,,,,,,,,,,EPI_ISL_14948285|BM.1.1
 1,,,,,,,,,,EPI_ISL_14948286|BM.1.1
 1,,,,,,,,,,EPI_ISL_14948287|BM.1.1
 1,,,,,,,,,,EPI_ISL_14948288|BM.1.1
 1,,,,,,,,,,EPI_ISL_14948295|BM.1.1
 1,,,,,,,,,,EPI_ISL_14959234|BM.1.1
 1,,,,,,,,,,EPI_ISL_14960561|BM.1.1
 1,,,,,,,,,,EPI_ISL_14975621|BM.1.1
 1,,,,,,,,,,EPI_ISL_14976262|BM.1.1
 1,,,,,,,,,,EPI_ISL_14976309|BM.1.1
 1,,,,,,,,,,EPI_ISL_14986584|BM.1
 1,,,,,,,,,,EPI_ISL_14986592|BM.1
 1,,,,,,,,,,EPI_ISL_14987836|BM.1.1
 1,,,,,,,,,,EPI_ISL_14987886|BM.1
 1,,,,,,,,,,EPI_ISL_14987887|BM.1
 1,,,,,,,,,,EPI_ISL_14989089|BM.1.1
 1,,,,,,,,,,EPI_ISL_14993329|BM.1.1
 1,,,,,,,,,,EPI_ISL_14993486|BM.1.1
 1,,,,,,,,,,EPI_ISL_14995487|BM.1.1
 1,,,,,,,,,,EPI_ISL_14995551|BM.1.1
 1,,,,,,,,,,EPI_ISL_14995671|BM.1.1
 1,,,,,,,,,,EPI_ISL_15002665|BM.1
 1,,,,,,,,,,EPI_ISL_15008737|BM.1.1
 1,,,,,,,,,,EPI_ISL_15015275|BM.1.1
 1,,,,,,,,,,EPI_ISL_15015950|BM.1.1
 1,,,,,,,,,,EPI_ISL_15016580|BM.1.1
 1,,,,,,,,,,EPI_ISL_15016606|BM.1.1
 1,,,,,,,,,,EPI_ISL_15017961|BM.1.1
 1,,,,,,,,,,EPI_ISL_15020793|BM.1.1
 1,,,,,,,,,,EPI_ISL_15021713|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031219|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031222|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031242|BM.1.1.1
 1,,,,,,,,,,EPI_ISL_15031247|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031248|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031251|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031264|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031269|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031294|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031902|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031908|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031910|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031917|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031918|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031920|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031952|BM.1.1
 1,,,,,,,,,,EPI_ISL_15031977|BM.1.1
 1,,,,,,,,,,EPI_ISL_15040383|BM.1.1
 1,,,,,,,,,,EPI_ISL_15042662|BM.1.1
 1,,,,,,,,,,EPI_ISL_15042721|BM.1.1
 1,,,,,,,,,,EPI_ISL_15043114|BM.1.1
 1,,,,,,,,,,EPI_ISL_15043117|BM.1.1
 1,,,,,,,,,,EPI_ISL_15044444|BM.1.1
 1,,,,,,,,,,EPI_ISL_15044740|BM.1.1
 1,,,,,,,,,,EPI_ISL_15046879|BM.1.1
 1,,,,,,,,,,EPI_ISL_15048671|BM.1.1
 1,,,,,,,,,,EPI_ISL_15052896|BM.1.1
 1,,,,,,,,,,EPI_ISL_15055376|BM.1.1
 1,,,,,,,,,,EPI_ISL_15055447|BM.1.1
 1,,,,,,,,,,EPI_ISL_15055540|BM.1.1
 1,,,,,,,,,,EPI_ISL_15056761|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057618|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057622|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057624|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057631|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057632|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057634|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057635|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057636|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057637|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057638|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057641|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057642|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057651|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057657|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057658|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057659|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057661|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057662|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057663|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057664|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057665|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057667|BM.1.1
 1,,,,,,,,,,EPI_ISL_15057671|BM.1.1
 1,,,,,,,,,,EPI_ISL_15059330|BM.1.1
 1,,,,,,,,,,EPI_ISL_15060397|BM.1.1
 1,,,,,,,,,,EPI_ISL_15060854|BM.1.1
 1,,,,,,,,,,EPI_ISL_15061553|BM.1.1
 1,,,,,,,,,,EPI_ISL_15065717|BM.1.1
 1,,,,,,,,,,EPI_ISL_15074121|BM.1.1
 1,,,,,,,,,,EPI_ISL_15081777|BM.1.1
 1,,,,,,,,,,EPI_ISL_15081794|BM.1.1
 1,,,,,,,,,,EPI_ISL_15090375|BM.1.1
 1,,,,,,,,,,EPI_ISL_15097759|BM.1.1
 1,,,,,,,,,,EPI_ISL_15099321|BM.1.1
 1,,,,,,,,,,EPI_ISL_15099405|BM.1.1
 1,,,,,,,,,,EPI_ISL_15099636|BM.1.1
 1,,,,,,,,,,EPI_ISL_15099999|BM.1.1
 1,,,,,,,,,,EPI_ISL_15100386|BM.1.1
 1,,,,,,,,,,EPI_ISL_15101179|BM.1.1
 1,,,,,,,,,,EPI_ISL_15103276|BM.1.1
 1,,,,,,,,,,EPI_ISL_15103351|BM.1.1
 1,,,,,,,,,,EPI_ISL_15104201|BM.1
 1,,,,,,,,,,EPI_ISL_15105960|BM.1.1
 1,,,,,,,,,,EPI_ISL_15106371|BM.1.1
 1,,,,,,,,,,EPI_ISL_15106833|BM.1.1
 1,,,,,,,,,,EPI_ISL_15114005|BM.1
 1,,,,,,,,,,EPI_ISL_15118658|BM.1.1
 1,,,,,,,,,,EPI_ISL_15120188|BM.1.1
 1,,,,,,,,,,EPI_ISL_15127862|BM.1.1
 1,,,,,,,,,,EPI_ISL_15127899|BM.1.1
 1,,,,,,,,,,EPI_ISL_15128457|BM.1.1
 1,,,,,,,,,,EPI_ISL_15136522|BM.1.1
 1,,,,,,,,,,EPI_ISL_15138687|BM.1.1
 1,,,,,,,,,,EPI_ISL_15145502|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146659|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146660|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146661|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146668|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146670|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146687|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146692|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146699|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146703|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146735|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146760|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146809|BM.1
 1,,,,,,,,,,EPI_ISL_15146811|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146822|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146826|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146827|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146853|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146861|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146872|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146893|BM.1.1
 1,,,,,,,,,,EPI_ISL_15146895|BM.1
 1,,,,,,,,,,EPI_ISL_15149932|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153206|BM.1
 1,,,,,,,,,,EPI_ISL_15153257|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153744|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153756|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153797|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153810|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153812|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153821|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153825|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153831|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153834|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153835|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153836|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153840|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153845|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153848|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153850|BM.1.1
 1,,,,,,,,,,EPI_ISL_15153855|BM.1.1
 1,,,,,,,,,,EPI_ISL_15154382|BM.1
 1,,,,,,,,,,EPI_ISL_15155083|BM.1.1
 1,,,,,,,,,,EPI_ISL_15155675|BM.1.1
 1,,,,,,,,,,EPI_ISL_15155720|BM.1.1
 1,,,,,,,,,,EPI_ISL_15155774|BM.1.1
 1,,,,,,,,,,EPI_ISL_15156107|BM.1.1
 1,,,,,,,,,,EPI_ISL_15156164|BM.1.1
 1,,,,,,,,,,EPI_ISL_15158801|BM.1.1
 1,,,,,,,,,,EPI_ISL_15159388|BM.1.1
 1,,,,,,,,,,EPI_ISL_15159876|BM.1.1
 1,,,,,,,,,,EPI_ISL_15160229|BM.1.1
 1,,,,,,,,,,EPI_ISL_15164281|BM.1.1
 1,,,,,,,,,,EPI_ISL_15165752|BM.1.1
 1,,,,,,,,,,EPI_ISL_15165833|BM.1.1
 1,,,,,,,,,,EPI_ISL_15166114|BM.1.1
 1,,,,,,,,,,EPI_ISL_15166194|BM.1.1
 1,,,,,,,,,,EPI_ISL_15166196|BM.1.1
 1,,,,,,,,,,EPI_ISL_15168309|BM.1.1
 1,,,,,,,,,,EPI_ISL_15168336|BM.1.1
 1,,,,,,,,,,EPI_ISL_15170033|BM.1.1
 1,,,,,,,,,,EPI_ISL_15170856|BM.1.1
 1,,,,,,,,,,EPI_ISL_15172766|BM.1
 1,,,,,,,,,,EPI_ISL_15172813|BM.1
 1,,,,,,,,,,EPI_ISL_15172867|BM.1
 1,,,,,,,,,,EPI_ISL_15172924|BM.1.1
 1,,,,,,,,,,EPI_ISL_15172958|BM.1.1
 1,,,,,,,,,,EPI_ISL_15172960|BM.1.1
 1,,,,,,,,,,EPI_ISL_15172982|BM.1.1
 1,,,,,,,,,,EPI_ISL_15173507|BM.1.1
 1,,,,,,,,,,EPI_ISL_15173598|BM.1.1
 1,,,,,,,,,,EPI_ISL_15176755|BM.1
 1,,,,,,,,,,EPI_ISL_15178428|BM.1.1
 1,,,,,,,,,,EPI_ISL_15180266|BM.1.1
 1,,,,,,,,,,EPI_ISL_15180700|BM.1
 1,,,,,,,,,,EPI_ISL_15180895|BM.1
 1,,,,,,,,,,EPI_ISL_15181424|BM.1.1
 1,,,,,,,,,,EPI_ISL_15184085|BM.1.1
 1,,,,,,,,,,EPI_ISL_15184562|BM.1.1
 1,,,,,,,,,,EPI_ISL_15185396|BM.1.1
 1,,,,,,,,,,EPI_ISL_15186390|BM.1.1
 1,,,,,,,,,,EPI_ISL_15187023|BM.1.1
 1,,,,,,,,,,EPI_ISL_15192924|BM.1.1
 1,,,,,,,,,,EPI_ISL_15193001|BM.1.1
 1,,,,,,,,,,EPI_ISL_15193242|BM.1.1
 1,,,,,,,,,,EPI_ISL_15193309|BM.1.1
 1,,,,,,,,,,EPI_ISL_15193312|BM.1.1
 1,,,,,,,,,,EPI_ISL_15193341|BM.1.1
 1,,,,,,,,,,EPI_ISL_15193363|BM.1.1
 1,,,,,,,,,,EPI_ISL_15200048|BM.1.1
 1,,,,,,,,,,EPI_ISL_15200919|BM.1.1
 1,,,,,,,,,,EPI_ISL_15202886|BM.1
 1,,,,,,,,,,EPI_ISL_15203411|BM.1.1

~            = It is possible that this apparent recombination signal could have been caused by an evolutionary
               process other than recombination.
*            = The actual breakpoint position is undetermined (it was most likely either overprinted by a subsequent 
               recombination event or off the edges of the analysed sequence fragments).
^            = The recombinant sequence may have been misidentified (one of the identified parents might be the recombinant)
Minor Parent = Parent contributing the smaller fraction of sequence.
Major Parent = Parent contributing the larger fraction of sequence.
Unknown      = Only one parent and a recombinant need be in the alignment for a recombination event to be detectable.
               The sequence listed as unknown was used to infer the existance of a missing parental sequence.
NS           = No significant P-value was recorded for this recombination event using the particular method in question.
